"id","year","title","artwork","artwork_large","artist","artist_search","download"
13033469,"2013","Vaticaen Prod./New Cuts - JEAN PAUL DUB","/artworks/artworks-000061020331-cefyco-large.jpg","/artworks/artworks-000061020331-cefyco-t500x500.jpg","JEAN PAUL DUB","JEAN PAUL DUB",
11334486,"2013","MBEP010/People - SMITHER","/artworks/artworks-000059025946-t6abl3-large.jpg","/artworks/artworks-000059025946-t6abl3-t500x500.jpg","SMITHER","SMITHER","http://mareebass.fr/documents/sons/MareeBass_Prod-14.zip"
9636517,"2013","MBEP009/Nu Roots - DUBBA DO","/artworks/artworks-000056496168-hxgxpi-large.jpg","/artworks/artworks-000056496168-hxgxpi-t500x500.jpg","DUBBA DO","DUBBA DO","http://mareebass.fr/documents/sons/MareeBass_Prod-13.zip"
7330419,"2013","MBEP008/Sonar & Wine EP - SUBMARINE FM","/artworks/artworks-000051929513-i9toff-large.jpg","/artworks/artworks-000051929513-i9toff-t500x500.jpg","SUBMARINE FM","SUBMARINE FM","http://mareebass.fr/documents/sons/MareeBass_Prod-12.zip"
6252242,"2013","MBEP007/Toccata Riddimz - ROBERT JEAN & The Amazing Remixers","/artworks/artworks-000049455661-l5x5c7-large.jpg","/artworks/artworks-000049455661-l5x5c7-t500x500.jpg","ROBERT JEAN ","ROBERT JEAN ","http://mareebass.fr/documents/sons/MareeBass_Prod-11.zip"
4834179,"2013","MBLP001/Dub Family - INJHAM & FRIENDS","/artworks/artworks-000045584594-6pb45x-large.jpg","/artworks/artworks-000045584594-6pb45x-t500x500.jpg","INJHAM & FRIENDS","INJHAM & FRIENDS",
4393660,"2013","MBEP006/Ninjah Riddim - NAWAK BRITISH","/artworks/artworks-000044176542-4gmx7d-large.jpg","/artworks/artworks-000044176542-4gmx7d-t500x500.jpg","NAWAK BRITISH","NAWAK BRITISH",
3763269,"2013","MBEP005/O.M.N.I - IZMO","/artworks/artworks-000041017053-9t2r8a-large.jpg","/artworks/artworks-000041017053-9t2r8a-t500x500.jpg","IZMO.","IZMO.",
3629270,"2013","MBEP004​/​New Day - I​-​BEL​.​.​.​JAM to FR","/artworks/artworks-000040203058-02syzo-large.jpg","/artworks/artworks-000040203058-02syzo-t500x500.jpg","I​-​BEL​.​.​.​JAM to FR","I​-​BEL​.​.​.​JAM to FR",
4723932,"2012","Marée BASS Compilation#2","/artworks/artworks-000045243980-pz0bry-large.jpg","/artworks/artworks-000045243980-pz0bry-t500x500.jpg",,,
4723356,"2012","MBEP003/Japan Wise - INJHAM & P.A.F./01.INJHAM Vers","/artworks/artworks-000045242279-w8316v-large.jpg","/artworks/artworks-000045242279-w8316v-t500x500.jpg","INJHAM & P.A.F.","INJHAM & P.A.F.",
4700473,"2012","MBEP002/Echo Valley - CAM STEP","/artworks/artworks-000045174203-8p6m58-large.jpg","/artworks/artworks-000045174203-8p6m58-t500x500.jpg","CAM STEP","CAM STEP",
4699524,"2012","MBEP001/MidNight Dub - NO FINGER NAILS","/artworks/artworks-000045170856-m1zntc-large.jpg","/artworks/artworks-000045170856-m1zntc-t500x500.jpg","NO FINGER NAILS","NO FINGER NAILS",
